,Voltage(V), Voltage from Resistor(V), Resistor Resistance (Ω),Current (A),Resistance (Ω),Power(Watts),Resistivity (Ωm),Temperature(K),Resistivity in μΩcm
71,110.0,4.94,6.5,0.76,144.73684210526315,83.6,8.615288220551378e-07,3472.2963831959723,86.15288220551378
72,111.5,4.97,6.5,0.7646153846153846,145.82494969818913,85.25461538461536,8.680056529654115e-07,3497.815811526444,86.80056529654115
73,113.0,5.01,6.5,0.7707692307692308,146.60678642714572,87.09692307692308,8.726594430187245e-07,3516.1522577569917,87.26594430187245
74,114.5,5.05,6.5,0.7769230769230769,147.37623762376236,88.9576923076923,8.772395096652522e-07,3534.1982256314113,87.72395096652522
75,116.0,5.08,6.5,0.7815384615384615,148.42519685039372,90.65846153846155,8.834833145856769e-07,3558.7995058537313,88.3483314585677
76,117.5,5.12,6.5,0.7876923076923077,149.169921875,92.55384615384615,8.879162016369047e-07,3576.265569885362,88.79162016369047
77,119.0,5.16,6.5,0.7938461538461539,149.9031007751938,94.4676923076923,8.922803617571059e-07,3593.46084222658,89.2280361757106
78,120.5,5.19,6.5,0.7984615384615386,150.91522157996144,96.2146153846154,8.983048903569133e-07,3617.198149554426,89.83048903569133
79,122.0,5.23,6.5,0.8046153846153847,151.62523900573612,98.16307692307694,9.025311845579531e-07,3633.8502149643546,90.2531184557953
80,123.5,5.26,6.5,0.8092307692307692,152.61406844106463,99.93999999999998,9.084170740539562e-07,3657.0412689281175,90.84170740539561
81,125.0,5.3,6.5,0.8153846153846154,153.30188679245282,101.92307692307692,9.125112309074572e-07,3673.172698610943,91.25112309074572
82,126.5,5.34,6.5,0.8215384615384616,153.97940074906367,103.9246153846154,9.165440520777599e-07,3689.062458935224,91.654405207776
83,128.0,5.37,6.5,0.8261538461538461,154.93482309124767,105.74769230769229,9.222310898288551e-07,3711.4700150861117,92.22310898288552
84,129.5,5.41,6.5,0.8323076923076923,155.59149722735674,107.78384615384616,9.26139864448552e-07,3726.871018315808,92.6139864448552
85,131.0,5.44,6.5,0.836923076923077,156.52573529411762,109.63692307692308,9.317008053221287e-07,3748.781738857875,93.17008053221286
86,132.5,5.48,6.5,0.8430769230769232,157.16240875912408,111.70769230769231,9.354905283281195e-07,3763.7136655954273,93.54905283281195
87,134.0,5.51,6.5,0.8476923076923076,158.07622504537207,113.59076923076923,9.409299109843576e-07,3785.1454333505026,94.09299109843576
88,135.5,5.55,6.5,0.8538461538461538,158.6936936936937,115.69615384615383,9.446053196053195e-07,3799.6269487995255,94.46053196053195
89,136.9,5.58,6.5,0.8584615384615385,159.47132616487454,117.52338461538461,9.492340843147294e-07,3817.864792414221,94.92340843147294
